ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
852114;C115_G2;;car;silver;1665268152920;1665268153160;357.04;357.04;357.04;;0.24;0.00
852161;C115_G2;;car;silver;1665268188700;1665268189220;386.14;380.55;475.59;;0.34;0.00
852261;C115_G2;;car;black;1665268244230;1665268245940;133.50;127.54;142.97;;1.71;1.05
852409;C115_G2;;car;black;1665268301480;1665268301520;457.56;457.56;457.56;;0.04;0.00
852420;C115_G2;;car;silver;1665268324600;1665268324860;321.17;321.17;321.17;;0.26;0.00
852470;C115_G2;;car;black;1665268369120;1665268369660;414.52;376.64;513.03;;0.36;0.00
852485;C115_G2;;car;silver;1665268384160;1665268384660;252.13;252.13;252.13;;0.50;0.00
852489;C115_G2;;car;black;1665268386560;1665268386880;308.15;289.81;310.77;;0.32;0.00
852586;C115_G2;;car;yellow;1665268462900;1665268463060;102.66;102.66;102.66;;0.16;0.00
852634;C115_G2;;car;black;1665268478720;1665268478940;303.83;303.83;303.83;;0.22;0.00
852676;C115_G2;;car;red;1665268513220;1665268513420;300.32;300.32;300.32;;0.20;0.00
852701;C115_G2;;car;black;1665268535500;1665268535580;383.21;383.21;383.21;;0.08;0.00
852751;C115_G2;;car;black;1665268587800;1665268588000;292.20;292.20;292.20;;0.20;0.00
852837;C115_G2;;car;black;1665268645740;1665268646560;292.31;263.72;415.05;;0.58;0.00
852914;C115_G2;;car;blue;1665268766960;1665268767640;223.68;216.27;233.35;;0.68;0.00
852957;C115_G2;;car;silver;1665268807240;1665268807820;290.21;280.56;302.09;;0.58;0.00
853025;C115_G2;;car;blue;1665268879780;1665268880060;295.80;295.80;295.80;;0.28;0.00
853077;C115_G2;;car;undefined;1665268925400;1665268925580;380.09;380.09;380.09;;0.18;0.00
853105;C115_G2;;car;black;1665268949960;1665268950480;246.18;242.71;255.59;;0.52;0.00
853266;C115_G2;;car;silver;1665269074940;1665269075340;289.80;275.79;290.54;;0.40;0.00
853356;C115_G2;;car;black;1665269144520;1665269144840;360.04;356.98;381.43;;0.32;0.00
853375;C115_G2;;car;black;1665269177040;1665269177160;314.96;314.96;314.96;;0.12;0.00
853527;C115_G2;;car;black;1665269272200;1665269272560;242.73;242.73;242.73;;0.36;0.00
853598;C115_G2;;car;black;1665269323040;1665269323320;295.50;295.50;295.50;;0.28;0.00
