ID;;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s;;
710514;8;C115_G1;;car;black;1665233842360;1665233842520;486.82;479.00;510.29;;0.16;0.00;;
710652;138;C115_G1;;car;white;1665233876140;1665233876220;345.37;345.37;345.37;;0.08;0.00;;
710705;53;C115_G1;;car;white;1665233879240;1665233879300;363.65;363.65;363.65;;0.06;0.00;;
710942;237;C115_G1;;car;silver;1665233954920;1665233955040;477.30;469.33;485.28;;0.12;0.00;;
710972;30;C115_G1;;car;silver;1665233967440;1665233967580;455.72;455.72;455.72;;0.14;0.00;;
711188;216;C115_G1;;car;white;1665234022040;1665234022120;411.51;411.51;411.51;;0.08;0.00;;
711206;18;C115_G1;;light;white;1665234030840;1665234030900;543.28;543.28;543.28;;0.06;0.00;;
711217;11;C115_G1;;car;white;1665234033560;1665234033640;411.01;411.01;411.01;;0.08;0.00;;
711356;139;C115_G1;;car;black;1665234066060;1665234066200;574.53;548.60;578.85;;0.14;0.00;;
711856;500;C115_G1;;car;black;1665234199600;1665234199640;427.45;427.45;427.45;;0.04;0.00;;
711998;142;C115_G1;;car;black;1665234234680;1665234234740;537.88;537.88;537.88;;0.06;0.00;;
712252;254;C115_G1;;car;silver;1665234284800;1665234284880;446.34;446.34;446.34;;0.08;0.00;;
713061;809;C115_G1;;car;white;1665234508300;1665234508540;391.34;389.21;402.01;;0.24;0.00;;
713510;449;C115_G1;;car;black;1665234611280;1665234611380;420.78;420.78;420.78;;0.10;0.00;;
714034;524;C115_G1;;light;white;1665234751700;1665234751760;524.93;521.27;532.26;;0.06;0.00;;
714290;256;C115_G1;;car;black;1665234820760;1665234820920;506.24;506.24;506.24;;0.16;0.00;;
714731;441;C115_G1;;car;white;1665234952960;1665234953100;517.49;517.49;517.49;;0.14;0.00;;
714779;48;C115_G1;;car;black;1665234967580;1665234967700;364.52;364.52;364.52;;0.12;0.00;;
714812;33;C115_G1;;car;black;1665234980880;1665234980940;505.76;505.76;505.76;;0.06;0.00;;
714945;133;C115_G1;;car;black;1665235005380;1665235005440;375.49;375.49;375.49;;0.06;0.00;;
715282;337;C115_G1;;car;black;1665235120860;1665235120960;429.78;429.78;429.78;;0.10;0.00;;
715305;23;C115_G1;;car;silver;1665235129060;1665235129100;378.87;378.87;378.87;;0.04;0.00;;
715454;149;C115_G1;;car;black;1665235160980;1665235161140;405.26;405.26;405.26;;0.16;0.00;;
715681;227;C115_G1;;car;silver;1665235201500;1665235201540;387.70;387.70;387.70;;0.04;0.00;;
716120;439;C115_G1;;car;black;1665235296020;1665235296160;537.75;525.08;539.87;;0.14;0.00;;
716149;29;C115_G1;;car;black;1665235304560;1665235304620;498.73;498.73;498.73;;0.06;0.00;;
716162;13;C115_G1;;car;silver;1665235308760;1665235308900;526.57;509.03;529.49;;0.14;0.00;;
716463;301;C115_G1;;car;black;1665235402460;1665235402620;407.42;406.50;408.94;;0.16;0.00;;
716504;41;C115_G1;;light;white;1665235419060;1665235419140;265.10;265.10;265.10;;0.08;0.00;;
716673;169;C115_G1;;car;black;1665235494660;1665235494700;482.10;482.10;482.10;;0.04;0.00;;
718262;1589;C115_G1;;car;black;1665235920100;1665235920160;453.48;453.48;453.48;;0.06;0.00;;
718982;720;C115_G1;;car;black;1665236034760;1665236034900;482.03;482.03;482.03;;0.14;0.00;;
719030;48;C115_G1;;car;black;1665236046680;1665236046800;679.78;673.13;713.05;;0.12;0.00;;
