C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS
C115_G4;1657205065620;1661207045620;119;927;38500;285;969;786;ok
C115_G4;1657205065620;1661207063300;119;927;38500;285;969;787;ok
C115_G4;1657205065620;1661207102400;119;927;38501;285;969;787;ok
C115_G4;1657205065620;1661207127900;119;928;38501;285;969;787;ok
C115_G4;1657205065620;1661207148980;119;928;38502;285;969;787;ok
C115_G4;1657205065620;1661207218000;119;928;38503;285;969;787;ok
C115_G4;1657205065620;1661207239080;119;928;38503;285;970;787;ok
C115_G4;1657205065620;1661207263560;119;928;38504;285;970;787;ok
C115_G4;1657205065620;1661207302320;119;928;38505;285;970;787;ok
C115_G4;1657205065620;1661207355700;119;928;38506;285;970;787;ok
C115_G4;1657205065620;1661207360120;119;928;38506;285;971;787;ok
C115_G4;1657205065620;1661207380520;119;928;38507;285;971;787;ok
C115_G4;1657205065620;1661207388340;119;928;38508;285;971;787;ok
C115_G4;1657205065620;1661207398200;119;928;38509;285;971;787;ok
C115_G4;1657205065620;1661207406020;119;928;38510;285;971;787;ok
C115_G4;1657205065620;1661207415540;119;928;38511;285;971;787;ok
C115_G4;1657205065620;1661207429140;119;928;38512;285;971;787;ok
C115_G4;1657205065620;1661207431520;119;928;38513;285;971;787;ok
C115_G4;1657205065620;1661207439340;119;928;38514;285;971;787;ok
C115_G4;1657205065620;1661207455680;119;928;38515;285;971;787;ok
C115_G4;1657205065620;1661207476080;119;928;38516;285;971;787;ok
C115_G4;1657205065620;1661207484580;119;928;38517;285;971;787;ok
C115_G4;1657205065620;1661207486620;119;928;38518;285;971;787;ok
C115_G4;1657205065620;1661207504640;119;928;38519;285;971;787;ok
C115_G4;1657205065620;1661207509740;119;928;38520;285;971;787;ok
C115_G4;1657205065620;1661207520960;119;928;38521;285;971;787;ok
C115_G4;1657205065620;1661207531500;119;928;38522;285;971;787;ok
C115_G4;1657205065620;1661207553260;119;928;38523;285;971;787;ok
C115_G4;1657205065620;1661207561420;119;928;38524;285;971;787;ok
C115_G4;1657205065620;1661207570940;119;928;38525;285;971;787;ok
C115_G4;1657205065620;1661207577400;119;928;38526;285;971;787;ok
C115_G4;1657205065620;1661207598480;119;928;38527;285;971;787;ok
C115_G4;1657205065620;1661207627040;119;928;38527;285;972;787;ok
C115_G4;1657205065620;1661207651860;119;928;38528;285;972;787;ok
C115_G4;1657205065620;1661207716120;119;928;38529;285;972;787;ok
C115_G4;1657205065620;1661207740940;119;928;38530;285;972;787;ok
C115_G4;1657205065620;1661207741960;119;928;38531;285;972;787;ok
C115_G4;1657205065620;1661207751140;119;928;38532;285;972;787;ok
C115_G4;1657205065620;1661207778000;119;928;38533;285;972;787;ok
C115_G4;1657205065620;1661207794320;119;929;38533;285;972;787;ok
C115_G4;1657205065620;1661207821520;119;929;38534;285;972;787;ok
C115_G4;1657205065620;1661207846340;119;929;38534;285;973;787;ok
C115_G4;1657205065620;1661207911960;119;929;38535;285;973;787;ok
C115_G4;1657205065620;1661207916040;119;929;38536;285;973;787;ok
C115_G4;1657205065620;1661207926920;119;929;38537;285;973;787;ok
C115_G4;1657205065620;1661207930660;119;929;38538;285;973;787;ok
C115_G4;1657205065620;1661207937460;119;929;38539;285;973;787;ok
C115_G4;1657205065620;1661207959220;119;929;38540;285;973;787;ok
C115_G4;1657205065620;1661207982680;119;929;38541;285;973;787;ok
C115_G4;1657205065620;1661208013620;119;929;38542;285;973;787;ok
C115_G4;1657205065620;1661208039800;119;929;38543;285;973;787;ok
C115_G4;1657205065620;1661208119020;119;929;38544;285;973;787;ok
C115_G4;1657205065620;1661208121400;119;929;38545;285;973;787;ok
C115_G4;1657205065620;1661208140100;119;929;38546;285;973;787;ok
C115_G4;1657205065620;1661208141800;119;930;38546;285;973;787;ok
C115_G4;1657205065620;1661208193820;119;930;38547;285;973;787;ok
C115_G4;1657205065620;1661208227480;119;930;38548;285;973;787;ok
C115_G4;1657205065620;1661208256720;119;930;38549;285;973;787;ok
C115_G4;1657205065620;1661208313160;119;930;38550;285;973;787;ok
C115_G4;1657205065620;1661208338320;119;930;38551;285;973;787;ok
C115_G4;1657205065620;1661208389660;119;930;38552;285;973;787;ok
C115_G4;1657205065620;1661208410060;119;930;38552;285;973;788;ok
C115_G4;1657205065620;1661208506280;119;930;38553;285;973;788;ok
C115_G4;1657205065620;1661208531440;119;930;38554;285;973;788;ok
C115_G4;1657205065620;1661208539600;119;930;38555;285;973;788;ok
C115_G4;1657205065620;1661208552180;119;930;38556;285;973;788;ok
C115_G4;1657205065620;1661208562380;119;930;38557;285;973;788;ok
C115_G4;1657205065620;1661208647380;119;930;38558;285;973;788;ok
C115_G4;1657205065620;1661208651460;119;930;38559;285;973;788;ok
C115_G4;1657205065620;1661208726600;119;931;38559;285;973;788;ok
C115_G4;1657205065620;1661208732040;119;931;38560;285;973;788;ok
C115_G4;1657205065620;1661208742240;119;931;38561;285;973;788;ok
C115_G4;1657205065620;1661208774540;119;931;38562;285;973;788;ok
C115_G4;1657205065620;1661208834060;119;931;38563;285;973;788;ok
C115_G4;1657205065620;1661208885400;119;931;38564;285;973;788;ok
C115_G4;1657205065620;1661208916680;119;931;38565;285;973;788;ok
C115_G4;1657205065620;1661208924160;119;931;38566;285;973;788;ok
C115_G4;1657205065620;1661208963940;119;931;38567;285;973;788;ok
C115_G4;1657205065620;1661208976860;119;931;38568;285;973;788;ok
C115_G4;1657205065620;1661208980940;119;931;38569;285;973;788;ok
C115_G4;1657205065620;1661209021060;119;931;38570;285;973;788;ok
C115_G4;1657205065620;1661209058800;119;931;38571;285;973;788;ok
C115_G4;1657205065620;1661209060840;119;931;38572;285;973;788;ok
C115_G4;1657205065620;1661209077840;119;931;38573;285;973;788;ok
C115_G4;1657205065620;1661209108780;119;931;38573;285;973;789;ok
C115_G4;1657205065620;1661209138700;119;931;38574;285;973;789;ok
C115_G4;1657205065620;1661209157060;119;931;38575;285;973;789;ok
C115_G4;1657205065620;1661209177800;119;931;38576;285;973;789;ok
C115_G4;1657205065620;1661209179160;119;931;38575;285;973;789;ok
C115_G4;1657205065620;1661209180520;119;931;38577;285;973;789;ok
C115_G4;1657205065620;1661209184260;119;931;38578;285;973;789;ok
C115_G4;1657205065620;1661209231180;119;931;38579;285;973;789;ok
C115_G4;1657205065620;1661209262120;119;931;38580;285;973;789;ok
C115_G4;1657205065620;1661209265180;119;931;38581;285;973;789;ok
C115_G4;1657205065620;1661209281160;119;931;38582;285;973;789;ok
C115_G4;1657205065620;1661209302240;119;931;38583;285;973;789;ok
C115_G4;1657205065620;1661209309040;119;931;38584;285;973;789;ok
